"","name","is.nbreak","is.tfirst","is.tfirst.pknown","is.tfirst.pknown.offs","is.tfirst.offs","is.tfirst.big","is.slope.ma","is.slope.ma.prop","is.slope.ma.prop.lev","is.intlev.initlev","is.intlev.finallev","is.intlev.levd","is.intlev.levdprop"
"1","ratio_quantity.L81655",1,77,77,77,77,77,-0.00850576490138414,-0.0161166173880687,0.527777777777778,0.536269420051567,0.230061883601738,0.306207536449829,0.570995706636385
"2","ratio_quantity.L81669",2,82,82,82,82,82,-0.141047875918409,-0.251219870843082,0.735305705406181,0.702499784340538,0.318855607826242,0.383644176514296,0.54611287443232
"3","ratio_quantity.L81670",2,87,87,87,87,87,-0.379638328409309,-1.42167417960323,1.0300510356197,0.646674428421522,0.278111789017048,0.368562639404474,0.569935385111955
"4","ratio_quantity.L82001",2,68,68,68,68,68,-0.0434765386967085,-0.0736134065944308,0.611335613784755,0.634082797910335,0.349613594962731,0.284469202947605,0.448631005107051
"5","ratio_quantity.L82003",3,15,15,15,15,62,-0.0154636996343364,-0.0199987661811176,0.50028868849883,0.775631857649626,0.281079012787612,0.494552844862014,0.637612857162215
"6","ratio_quantity.L82004",3,15,15,15,15,71,-0.00953342801032391,-0.0117237791181469,0.505348778426375,0.817130912729365,0.251179529211011,0.565951383518355,0.692607971014063
"7","ratio_quantity.L82006",3,28,28,28,28,66,-0.335054141819654,-0.432748745383667,0.590955660834635,0.778222132715286,0.211252114446163,0.566970018269123,0.72854522434477
"8","ratio_quantity.L82007",8,14,14,14,14,60,-0.031757708276187,-0.0364086418197597,0.508353853513945,0.883507188358094,0.258790604493036,0.624716583865058,0.707087154577688
"9","ratio_quantity.L82008",2,15,15,15,15,73,-0.0129167234594953,-0.01524253290642,0.516256231895977,0.849720962123198,0.199201337956128,0.650519624167071,0.765568525627068
"10","ratio_quantity.L82009",2,67,67,67,67,67,-0.344957701879356,-0.813752448548092,0.666484121384917,0.76886758073113,0.251289305704033,0.517578275027098,0.673169591225219
"11","ratio_quantity.L82010",2,63,63,63,63,63,-0.0465188782864158,-0.062897543021215,0.550666048710176,0.786116580389425,0.363729197007275,0.42238738338215,0.537308834235386
"12","ratio_quantity.L82011",2,64,64,64,64,64,-0.0428428965301337,-0.0572966183547621,0.502269099330946,0.790581554767596,0.278789410828781,0.511792143938814,0.647361604697777
"13","ratio_quantity.L82012",1,55,55,55,55,55,-0.00740041587151198,-0.0102316729299035,0.517241379310345,0.730685446795756,0.301461326248061,0.429224120547695,0.587426672352588
"14","ratio_quantity.L82013",11,15,15,15,15,64,-0.024391807347642,-0.0301683524395334,0.502830211053479,0.816384171125322,0.28278480711351,0.533599364011812,0.653613069538434
"15","ratio_quantity.L82015",1,50,50,50,50,50,-0.00846629769930612,-0.0112615582988435,0.507936507936508,0.760253703548422,0.226876948492136,0.533376755056286,0.701577318948653
"16","ratio_quantity.L82016",3,15,15,15,15,64,-0.0136433113341644,-0.0184459649473451,0.501833159424572,0.741890721766623,0.33408652196618,0.407804199800442,0.54968230203683
"17","ratio_quantity.L82017",3,63,63,63,63,63,-0.10816902931691,-0.171784132011067,0.579860908174536,0.737849012273321,0.178219826418538,0.559629185854783,0.758460303593224
"18","ratio_quantity.L82018",3,66,66,66,66,66,-0.0301739066259034,-0.0464436457255119,0.519807819614325,0.720745496379474,0.314408118580813,0.40633737779866,0.563773731282149
"19","ratio_quantity.L82021",2,56,56,56,56,56,-0.0155149357255754,-0.0194878066704582,0.529464397781616,0.811650487967827,0.401407417672387,0.41024307029544,0.505443015653927
"20","ratio_quantity.L82022",1,56,56,56,56,56,-0.00730316402284255,-0.0101163434409164,0.508771929824561,0.729220531251037,0.312940181949012,0.416280349302025,0.570856594764087
"21","ratio_quantity.L82023",10,10,10,10,10,60,-0.0160400692664269,-0.0204317792449729,0.504868214045116,0.793431138286813,0.253327463816053,0.54010367447076,0.680719029551776
"22","ratio_quantity.L82024",1,63,63,63,63,63,-0.00871133968498812,-0.0144937719257095,0.52,0.60975154713683,0.174184562887424,0.435566984249406,0.714335185035067
"23","ratio_quantity.L82025",2,58,58,58,58,58,-0.0357935444742491,-0.0469116708469306,0.523634970839056,0.798792257332737,0.251944984441171,0.546847272891566,0.684592605739013
"24","ratio_quantity.L82026",2,65,65,65,65,65,-0.0739641984749864,-0.125173236146554,0.571324138106935,0.664858871745143,0.4059368569321,0.258922014813043,0.389439061155063
"25","ratio_quantity.L82028",1,53,53,53,53,53,-0.00650809437286791,-0.00885264962134404,0.516666666666667,0.741665889071607,0.351180226699532,0.390485662372075,0.52649807430253
"26","ratio_quantity.L82029",9,15,15,15,15,63,-0.0822862737594801,-0.106515276048558,0.618220090364787,0.780270887243381,0.247863254156425,0.532407633086956,0.682336918871726
"27","ratio_quantity.L82030",3,15,15,15,15,59,-0.00814574051225657,-0.0101551857126328,0.505641685586224,0.80576471173018,0.370802563433522,0.434962148296658,0.53981285350991
"28","ratio_quantity.L82035",2,68,68,68,68,68,-0.0135935655866177,-0.0208252944892817,0.500099196349631,0.761529291827835,0.353803214106423,0.407726077721411,0.535404326657981
"29","ratio_quantity.L82036",2,8,8,8,8,63,-0.0065269461913465,-0.00834924458590265,0.513690090827336,0.783661956295642,0.351657963093499,0.432003993202143,0.551263194202025
"30","ratio_quantity.L82038",10,14,14,46,46,69,-0.0444488044595242,-0.0711214528354619,0.503059110961577,0.704817361727295,0.35138927750425,0.353428084223045,0.501446336901945
"31","ratio_quantity.L82039",1,4,4,4,4,4,-0.00286463317732437,-0.00353619335607412,0.504587155963303,0.812954152859212,0.500709136530856,0.312245016328356,0.384086870372911
"32","ratio_quantity.L82041",11,15,15,15,15,58,-0.0314125014058116,-0.0389327491690604,0.528143190215222,0.812483819770737,0.277188623524625,0.535295196246111,0.658837977102312
"33","ratio_quantity.L82042",4,48,48,48,48,65,-0.0171658543839287,-0.024608539523273,0.535863662051147,0.704072739633694,0.287630792185924,0.41644194744777,0.591475743918776
"34","ratio_quantity.L82043",1,73,73,73,73,73,-0.0108954426465701,-0.0173206676826674,0.525,0.639938320564781,0.204120614701979,0.435817705862802,0.681030799152907
"35","ratio_quantity.L82044",2,79,79,79,79,79,-0.0147835029107853,-0.0239316805437132,0.525169256844556,0.632521270376885,0.407321448138836,0.225199822238049,0.356035176657166
"36","ratio_quantity.L82045",2,47,47,47,47,47,-0.00985490351193045,-0.0122262003179142,0.525668131803254,0.815902837921342,0.478449885226198,0.337452952695144,0.413594532352486
"37","ratio_quantity.L82046",3,15,15,15,15,64,-0.0381573089749371,-0.0482812895703906,0.50184792709653,0.792207186306613,0.259971924581236,0.532235261725377,0.671838467165057
"38","ratio_quantity.L82047",1,37,37,37,37,37,-0.00435311891042211,-0.00524193955887339,0.513157894736842,0.834793619326588,0.503956582134507,0.330837037192081,0.396309973546468
"39","ratio_quantity.L82048",4,13,13,13,13,62,-0.0306405434016301,-0.0358196023482917,0.510920242876714,0.870030602941257,0.270317754824106,0.599712848117151,0.689300866072688
"40","ratio_quantity.L82049",2,73,73,73,73,73,-0.0468510275762939,-0.0673643704468462,0.508935517316814,0.742337785123619,0.282053269874028,0.460284515249591,0.620047267529217
